Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"61,951","34,829","27,072",24,26
ElProgreso,"4,092","2,544","1,548",-,-
Sacatepéquez,"6,845","3,111","3,732",1,1
Chimaltenango,"15,303","5,204","10,092",3,4
Escuintla,"15,800","10,865","4,842",11,82
SantaRosa,"9,022","5,821","3,187",10,4
Sololá,"9,555","4,837","4,571",143,4
Totonicapán,"11,724","4,633","7,042",46,3
Quetzaltenango,"19,858","10,780","9,012",57,9
Suchitepéquez,"13,782","7,060","6,714",4,4
Retalhuleu,"7,894","4,307","3,559",23,5
SanMarcos,"29,742","18,932","10,657",132,21
Huehuetenango,"36,713","23,320","13,371",6,16
Quiché,"28,392","14,882","13,484",20,6
BajaVerapaz,"7,760","3,568","4,187",2,3
AltaVerapaz,"33,382","16,411","16,855",100,16
Petén,"14,383","9,660","4,057",662,4
Izabal,"10,137","7,199","2,919",15,4
Zacapa,"6,001","4,005","1,995",-,1
Chiquimula,"10,721","6,447","4,234",35,5
Jalapa,"9,022","5,454","3,563",3,2
Jutiapa,"11,335","6,665","4,632",35,3
Extranjero,158,130,25,-,3
Ignorado,120,89,-,-,31
